TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
600,0,0,0.2
595,0,0,0.1
595,0,0,0.2
600,0,0,0.4
605,0.1,0,0.8
605,0.4,0.2,0.8
590,0.7,0.1,0.7
590,0.2,0,0.2
590,0,0,0.1
590,0,0,0.1
590,0,0.1,0
590,0,0.2,0
590,0,0.6,0.1
590,0.2,0.3,0.2
595,0.2,0.2,0.2
600,0.3,0.2,0.3
610,0.2,0.1,0.1
620,0.3,0.7,0.6
620,3,2.9,1.7
620,0.9,0.8,0.7
620,0.4,1,0.4
610,1,1.1,1.5
610,1.9,0.4,1.3
610,0.3,0.1,0.4
605,0.6,0.2,1
605,0.1,0.1,0.1
605,0.1,0,0.1
600,0.1,0,0.5
590,0.1,0.4,0.4
590,0.1,0.7,0.1
585,0.4,0.5,0.2
585,0.1,0,0.2
585,0,0,0.1
585,0,0,0
585,0,0,0.1
580,0,0,0.5
590,0,0,0.1
595,0.1,0.1,0.1
595,0.1,0,0.2
595,0.3,0.1,0.3
595,0.5,0.3,0.2
600,0.3,0.1,0.1
600,0.3,1.6,0.5
595,2.8,0.6,0.3
595,0.7,0.8,0.2
595,0.1,0.6,0.7
590,0.1,0,0.3
595,0,0,0.1
595,0,0,0.1
595,0,0,0
590,0,0,0.1
590,0,0,0.3
590,0,0,0.4
590,0,0,0.2
585,0,0,0
585,0,0,0.1
585,0,0,0
600,0,0,0
635,0,0,0
645,0,0,0
650,0,0,0
640,0,0,0
635,0.2,0,0.2
635,0.3,0.1,0.3
625,0.1,0.1,0.2
615,0.8,0.3,0.8
615,1.6,2.9,0.2
605,0.2,1,0.3
600,0.3,0.4,0.4
600,2.3,1.1,1.3
595,1.2,1.1,1
595,0.1,0,0.3
595,0,0,0.2
590,0,0,0.8
590,0,0,0.1
580,0,0,0
580,0,0,0.1
580,0.2,0,0.6
580,0,0,0.2
580,0,0,0.2
580,0,0,0.1
580,0,0,0.1
580,0,0,0
580,0,0,0.1
575,0,0,0
580,0.1,0,0
580,0.1,0,0
580,0.1,0.1,0.1
575,0.1,0.1,0.1
575,0.1,0.1,0.1
575,0.3,0.2,0.1
575,0.9,0.1,0.9
575,0.3,1.7,1.2
575,1.7,1,0.4
575,1.5,0.4,2.3
575,0.1,0.1,0.9
575,0,0.1,0.1
575,0,0,0.1
575,0,0,0.4
575,0.4,0.1,0.4
575,0,0,0.1
575,0,0,0.2
575,0,0,0
575,0,0,0.1
575,0,0.1,0.2
575,0,0.1,0.1
575,0,0,0.1
575,0,0.1,0
575,0.1,0.1,0
580,0.1,0.1,0.1
590,0.2,0,0.1
605,0,0,0.1
645,0.4,0,0.3
685,1,0.5,1
680,0.4,0.2,0.1
660,0.5,0.1,0.1
645,0.3,0.3,0.1
630,0.3,0.1,0.5
625,0.1,0.2,0.2
625,0,0,0
625,0,0,0.1
645,0,0,0
650,0,0,0.1
650,0,0,0.2
650,0,0,0.3
675,0.1,0,0.4
665,0.1,0,0.3
650,0.2,0,0.4
